request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_56,576.81,affordable_with_plan,partial_payment,2025-02-03:576.81|2025-02-15:304.75,2025-02-15,none,"Pay USD 576.81 today and the remaining USD 304.75 on 15 February 2025. This completes the full request and keeps the USD 2,100 minimum protected."
request_57,11757.37,affordable_later,wait,2026-05-15:61446,2026-05-15,none,"Pay ZAR 61,446 in full on 15 May 2026. Paying earlier would take the balance below the ZAR 42,700 minimum."
request_58,16059965.49,affordable_later,wait,2024-12-15:16226000,2024-12-15,none,"Pay IDR 16,226,000 in full on 15 December 2024. Paying earlier would take the balance below the IDR 14,433,900 minimum."
request_59,86813.13,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,,none,"Use 3 installments of INR 48,741.33, starting 7 May 2025. This leaves at least INR 132,600 available."
request_60,152.71,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,Pay USD 199.89 in full on 15 January 2026. Paying earlier would take the balance below the USD 400 minimum.
request_61,23047.8,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 29,062 request. Although ZAR 23,047.80 is available today, the full amount cannot be completed safely within 90 days."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300 available over the next 90 days."
request_63,38763.79,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 343,900 request. Although INR 38,763.79 is available today, the full amount cannot be completed safely within 90 days."
request_64,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 August 2024. None of the available options keeps the INR 36,100 minimum protected."
request_65,5261.26,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 54,340 request. Although ZAR 5,261.26 is available today, the full amount cannot be completed safely within 90 days."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 80,700 available over the next 90 days."
request_67,214.99,affordable_later,wait,2024-10-15:2094,2024-10-15,none,"Pay USD 2,094 in full on 15 October 2024. Paying earlier would take the balance below the USD 1,200 minimum."
request_68,1256.83,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-23,none,"Use 3 installments of USD 725.09, starting 14 February 2025. This leaves at least USD 1,500 available."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 700 available over the next 90 days.
request_70,46580.11,affordable_later,wait,2025-01-15:243900,2025-01-15,none,"Pay INR 243,900 in full on 15 January 2025. Paying earlier would take the balance below the INR 115,000 minimum."
request_71,774126.3,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 21,451,000 request. Although IDR 774,126 is available today, the full amount cannot be completed safely within 90 days."
request_72,11226.81,affordable_with_plan,full_payment,2026-07-05:11330,2026-07-15,stop:event_6682,"Stop the music subscription, then pay ZAR 11,330 today. This leaves at least ZAR 12,200 available."
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400 today. This leaves at least INR 103,200 available over the next 90 days."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 today. This leaves at least ZAR 21,900 available over the next 90 days."
request_75,3535.27,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,,none,"Use 3 installments of ZAR 9,800.27, starting 9 April 2026. This leaves at least ZAR 39,000 available."
request_76,523.65,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 4,455.60 request. Although USD 523.65 is available today, the full amount cannot be completed safely within 90 days."
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,"Pay INR 60,700 today. This leaves at least INR 82,200 available over the next 90 days."
request_78,48057.38,affordable_with_plan,full_payment,2025-10-02:50200,2025-10-15,stop:event_7224|reduce_to:event_7225:1480,"Stop the video streaming plan and reduce the monthly shopping spend to INR 1,480, then pay INR 50,200 today. This leaves at least INR 55,200 available."
request_79,363.31,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,151.60 request. Although EUR 363.31 is available today, the full amount cannot be completed safely within 90 days."
request_80,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 February 2025. None of the available options keeps the INR 121,300 minimum protected."
request_81,2069.14,affordable_with_plan,full_payment,2026-07-03:2076,2026-07-15,stop:event_7569,"Stop the online backup subscription, then pay USD 2,076 today. This leaves at least USD 1,600 available."
request_82,427.98,affordable_later,wait,2024-12-15:1405.2,2024-12-15,none,"Pay USD 1,405.20 in full on 15 December 2024. Paying earlier would take the balance below the USD 1,100 minimum."
request_83,5941.74,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 156,200 request. Although INR 5,941.74 is available today, the full amount cannot be completed safely within 90 days."
request_84,27530.71,affordable_later,wait,2026-04-15:95400,2026-04-15,none,"Pay INR 95,400 in full on 15 April 2026. Paying earlier would take the balance below the INR 91,300 minimum."
request_85,130668.89,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 19,304,000 request. Although IDR 130,669 is available today, the full amount cannot be completed safely within 90 days."
request_86,44442.42,affordable_with_plan,full_payment,2025-08-03:46300,2025-08-23,reduce_to:event_8084:2360,"reduce the online retail purchases to INR 2,360, then pay INR 46,300 today. This leaves at least INR 84,900 available."
request_87,15725.99,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 487,900 request. Although INR 15,725.99 is available today, the full amount cannot be completed safely within 90 days."
request_88,10224.03,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,"Use 3 installments of ZAR 9,045.23, starting 14 June 2024. This leaves at least ZAR 25,800 available."
request_89,8822586.62,not_affordable,not_recommended,none,2025-11-15,none,"Do not proceed with the IDR 13,756,000 request. Although IDR 8,822,587 is available today, the full amount cannot be completed safely within 90 days."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. This leaves at least ZAR 7,600 available over the next 90 days."
request_91,292.75,affordable_later,wait,2024-09-15:1927.2,2024-09-15,none,"Pay EUR 1,927.20 in full on 15 September 2024. Paying earlier would take the balance below the EUR 2,100 minimum."
request_92,31923.97,not_affordable,not_recommended,none,2025-02-15,none,"Do not proceed with the ZAR 34,034 request. Although ZAR 31,923.97 is available today, the full amount cannot be completed safely within 90 days."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,"Pay USD 1,729.20 today. This leaves at least USD 1,900 available over the next 90 days."
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days.
request_95,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 July 2025. None of the available options keeps the INR 145,500 minimum protected."
request_96,70684.55,not_affordable,not_recommended,none,2026-01-15,none,"Do not proceed with the INR 90,200 request. Although INR 70,684.55 is available today, the full amount cannot be completed safely within 90 days."
request_97,895.86,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,"Use 3 installments of ZAR 8,145.28, starting 19 March 2024. This leaves at least ZAR 29,700 available."
request_98,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 October 2025. None of the available options keeps the ZAR 30,000 minimum protected."
request_99,16131.69,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,stop:event_9188|reduce_to:event_9232:1065.9,"Stop the family streaming plan and reduce the family dinner to ZAR 1,065.90, then pay ZAR 18,062 today. This leaves at least ZAR 49,100 available."
request_100,27325.85,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Use 3 installments of ZAR 12,866.19, starting 13 June 2024. This leaves at least ZAR 32,500 available."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500 today. This leaves at least INR 187,400 available over the next 90 days."
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 5 April 2026. This leaves at least EUR 900 available."
request_103,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 7 October 2024. None of the available options keeps the INR 125,500 minimum protected."
request_104,3374.37,affordable_later,wait,2025-02-15:17204,2025-02-15,none,"Pay ZAR 17,204 in full on 15 February 2025. Paying earlier would take the balance below the ZAR 24,700 minimum."
request_105,52131.56,affordable_with_plan,full_payment,2026-06-08:53500,2026-06-15,reduce_to:event_9720:1632,"reduce the household shopping to INR 1,632, then pay INR 53,500 today. This leaves at least INR 73,900 available."
request_106,420.46,affordable_later,wait,2025-01-15:2207.7,2025-01-15,none,"Pay EUR 2,207.70 in full on 15 January 2025. Paying earlier would take the balance below the EUR 1,200 minimum."
request_107,1828.08,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-05-15,none,"Use 3 installments of EUR 878.59, starting 8 May 2025. This leaves at least EUR 1,600 available."
request_108,1167.95,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 55,308 request. Although ZAR 1,167.95 is available today, the full amount cannot be completed safely within 90 days."
request_109,759.1,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,"Use 3 installments of EUR 645.98, starting 18 March 2024. This leaves at least EUR 1,700 available."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 6 August 2025. This leaves at least ZAR 11,200 available."
request_111,14016581.3,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 16,625,000 request. Although IDR 14,016,581 is available today, the full amount cannot be completed safely within 90 days."
request_112,172.74,not_affordable,not_recommended,none,2024-06-15,none,"Do not proceed with the EUR 271.70 request. Although EUR 172.74 is available today, the full amount cannot be completed safely within 90 days."
request_113,29541.95,affordable_later,wait,2026-09-15:36500,2026-09-15,none,"Pay INR 36,500 in full on 15 September 2026. Paying earlier would take the balance below the INR 82,300 minimum."
request_114,0,not_affordable,not_recommended,none,2026-01-15,none,"Do not make this payment by 14 January 2026. None of the available options keeps the INR 113,400 minimum protected."
request_115,13532.68,affordable_later,wait,2024-10-15:80500,2024-10-15,none,"Pay INR 80,500 in full on 15 October 2024. Paying earlier would take the balance below the INR 38,800 minimum."
request_116,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 April 2025. None of the available options keeps the INR 80,300 minimum protected."
request_117,821.28,not_affordable,not_recommended,none,2026-07-15,none,"Do not proceed with the EUR 880 request. Although EUR 821.28 is available today, the full amount cannot be completed safely within 90 days."
request_118,631.06,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,"Use 3 installments of EUR 255.87, starting 7 December 2024. This leaves at least EUR 600 available."
request_119,55760.19,not_affordable,not_recommended,none,2025-06-15,none,"Do not proceed with the INR 203,500 request. Although INR 55,760.19 is available today, the full amount cannot be completed safely within 90 days."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000 today. This leaves at least IDR 20,050,300 available over the next 90 days."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800 available over the next 90 days.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773, starting 5 August 2025. This leaves at least IDR 12,588,500 available."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000 today. This leaves at least IDR 18,091,200 available over the next 90 days."
request_124,1347.49,not_affordable,not_recommended,none,2024-06-15,none,"Do not proceed with the EUR 3,104.20 request. Although EUR 1,347.49 is available today, the full amount cannot be completed safely within 90 days."
request_125,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 November 2025. None of the available options keeps the ZAR 11,300 minimum protected."
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600 today. This leaves at least INR 129,700 available over the next 90 days."
request_127,6789.53,affordable_later,wait,2024-09-15:23980,2024-09-15,none,"Pay ZAR 23,980 in full on 15 September 2024. Paying earlier would take the balance below the ZAR 41,000 minimum."
request_128,24651.41,affordable_with_plan,full_payment,2025-02-07:25168,2025-02-15,reduce_to:event_11812:1058.2,"reduce the cinema and events to ZAR 1,058.20, then pay ZAR 25,168 today. This leaves at least ZAR 42,600 available."
request_129,130.05,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,668.80 request. Although USD 130.05 is available today, the full amount cannot be completed safely within 90 days."
request_130,291.87,affordable_later,wait,2024-12-15:1978.8,2024-12-15,none,"Pay USD 1,978.80 in full on 15 December 2024. Paying earlier would take the balance below the USD 1,400 minimum."
request_131,1078.93,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-05-23,none,"Use 3 installments of USD 643.14, starting 6 May 2025. This leaves at least USD 1,100 available."
request_132,294.15,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,"Pay USD 379.86 in full on 15 January 2026. Paying earlier would take the balance below the USD 1,100 minimum."
request_133,15770000,not_affordable,not_recommended,none,2024-03-07,none,"Do not proceed with the IDR 15,770,000 request. Although IDR 15,770,000 is available today, the full amount cannot be completed safely within 90 days."
request_134,4880757.36,affordable_later,wait,2025-08-15:21831000,2025-08-15,none,"Pay IDR 21,831,000 in full on 15 August 2025. Paying earlier would take the balance below the IDR 15,902,500 minimum."
request_135,262.1,affordable_with_plan,full_payment,2026-07-06:304.8,2026-07-15,stop:event_12413|reduce_to:event_12458:17.5,"Stop the video streaming plan and reduce the lunch with colleagues to USD 17.50, then pay USD 304.80 today. This leaves at least USD 500 available."
request_136,475.07,not_affordable,not_recommended,none,2024-06-15,none,"Do not proceed with the USD 560.40 request. Although USD 475.07 is available today, the full amount cannot be completed safely within 90 days."
request_137,11988.11,affordable_later,wait,2025-11-15:80100,2025-11-15,none,"Pay INR 80,100 in full on 15 November 2025. Paying earlier would take the balance below the INR 71,800 minimum."
request_138,797.59,affordable_with_plan,partial_payment,2026-04-07:797.59|2026-04-15:459.35,2026-04-15,none,"Pay EUR 797.59 today and the remaining EUR 459.35 on 15 April 2026. This completes the full request and keeps the EUR 2,300 minimum protected."
request_139,1255.84,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,"Use 3 installments of USD 802.88, starting 7 September 2024. This leaves at least USD 1,500 available."
request_140,840.16,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 62,832 request. Although ZAR 840.16 is available today, the full amount cannot be completed safely within 90 days."
request_141,27302.93,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 171,600 request. Although INR 27,302.93 is available today, the full amount cannot be completed safely within 90 days."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 1,700 available over the next 90 days."
request_143,2000.27,affordable_later,wait,2025-05-15:12584,2025-05-15,none,"Pay ZAR 12,584 in full on 15 May 2025. Paying earlier would take the balance below the ZAR 11,300 minimum."
request_144,92.63,affordable_later,wait,2026-07-15:233.34,2026-07-15,none,Pay USD 233.34 in full on 15 July 2026. Paying earlier would take the balance below the USD 600 minimum.
request_145,30399.21,not_affordable,not_recommended,none,2024-03-15,none,"Do not proceed with the INR 217,400 request. Although INR 30,399.21 is available today, the full amount cannot be completed safely within 90 days."
request_146,11930.07,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 449,400 request. Although INR 11,930.07 is available today, the full amount cannot be completed safely within 90 days."
request_147,436.48,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-04-15,none,"Use 3 installments of EUR 391.63, starting 8 April 2026. This leaves at least EUR 900 available."
request_148,6379.72,not_affordable,not_recommended,none,2024-06-15,none,"Do not proceed with the ZAR 22,242 request. Although ZAR 6,379.72 is available today, the full amount cannot be completed safely within 90 days."
request_149,23352.15,not_affordable,not_recommended,none,2025-11-15,none,"Do not proceed with the ZAR 36,652 request. Although ZAR 23,352.15 is available today, the full amount cannot be completed safely within 90 days."
request_150,298.55,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-15,none,"Use 3 installments of EUR 171.98, starting 6 January 2026. This leaves at least EUR 700 available."
request_151,26721515.28,affordable_with_plan,full_payment,2024-09-03:26999000,2024-09-15,reduce_to:event_13923:633650,"reduce the coffee shop to IDR 633,650, then pay IDR 26,999,000 today. This leaves at least IDR 31,633,600 available."
request_152,10213.93,not_affordable,not_recommended,none,2025-02-15,none,"Do not proceed with the ZAR 13,882 request. Although ZAR 10,213.93 is available today, the full amount cannot be completed safely within 90 days."
request_153,233.93,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,830.80 request. Although USD 233.93 is available today, the full amount cannot be completed safely within 90 days."
request_154,1543.64,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-15,none,"Use 3 installments of EUR 563.61, starting 4 December 2024. This leaves at least EUR 1,300 available."
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay INR 112,500 today. This leaves at least INR 56,300 available over the next 90 days."
request_156,8758.09,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Pay ZAR 43,076 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 26,900 minimum."
request_157,4734860.44,affordable_later,wait,2024-03-15:23503000,2024-03-15,none,"Pay IDR 23,503,000 in full on 15 March 2024. Paying earlier would take the balance below the IDR 15,714,100 minimum."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33, starting 7 August 2025. This leaves at least INR 131,400 available."
request_159,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 March 2026. None of the available options keeps the ZAR 8,700 minimum protected."
request_160,546.34,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-15,none,"Use 3 installments of EUR 432.05, starting 13 June 2024. This leaves at least EUR 1,200 available."
request_161,2925975.29,affordable_later,wait,2025-11-15:21204000,2025-11-15,none,"Pay IDR 21,204,000 in full on 15 November 2025. Paying earlier would take the balance below the IDR 23,010,400 minimum."
request_162,364618.71,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 83,923,000 request. Although IDR 364,619 is available today, the full amount cannot be completed safely within 90 days."
request_163,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 November 2024. None of the available options keeps the IDR 26,728,700 minimum protected."
request_164,22065374.46,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-15,none,"Use 3 installments of IDR 9,366,240, starting 11 February 2025. This leaves at least IDR 29,550,500 available."
request_165,43523.55,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 80,600 request. Although INR 43,523.55 is available today, the full amount cannot be completed safely within 90 days."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 3 December 2024. This leaves at least USD 1,700 available."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802 today. This leaves at least ZAR 31,200 available over the next 90 days."
request_168,0,not_affordable,not_recommended,none,2026-01-15,none,"Do not make this payment by 16 March 2026. None of the available options keeps the INR 114,400 minimum protected."
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976 today. This leaves at least ZAR 18,700 available over the next 90 days."
request_170,28563637.77,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-15,none,"Use 3 installments of IDR 12,804,480, starting 6 August 2025. This leaves at least IDR 24,715,800 available."
request_171,8.58,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,878.80 request. Although EUR 8.58 is available today, the full amount cannot be completed safely within 90 days."
request_172,8363.55,affordable_with_plan,partial_payment,2024-06-05:8363.55|2024-06-15:1836.45,2024-06-15,none,"Pay ZAR 8,363.55 today and the remaining ZAR 1,836.45 on 15 June 2024. This completes the full request and keeps the ZAR 27,200 minimum protected."
request_173,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 January 2026. None of the available options keeps the INR 79,100 minimum protected."
request_174,858.94,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,,none,"Use 3 installments of EUR 397.35, starting 4 April 2026. This leaves at least EUR 700 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,700 available over the next 90 days."
request_176,0,not_affordable,not_recommended,none,,none,Do not make this payment by 27 February 2025. None of the available options keeps the EUR 600 minimum protected.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,"Pay USD 1,017.60 today. This leaves at least USD 1,300 available over the next 90 days."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1,018.54, starting 7 December 2024. This leaves at least EUR 1,400 available."
request_179,4114798.01,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,"Pay IDR 41,648,000 in full on 15 July 2025. Paying earlier would take the balance below the IDR 41,430,800 minimum."
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"Pay INR 66,500 today. This leaves at least INR 37,300 available over the next 90 days."
request_181,482.4,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 5,059.20 request. Although USD 482.40 is available today, the full amount cannot be completed safely within 90 days."
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Pay ZAR 65,714 today. This leaves at least ZAR 31,100 available over the next 90 days."
request_183,22811060.53,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-15,none,"Use 3 installments of IDR 9,313,547, starting 10 April 2026. This leaves at least IDR 11,878,300 available."
request_184,14059.12,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 251,900 request. Although INR 14,059.12 is available today, the full amount cannot be completed safely within 90 days."
